fecha,pib,petroleo,riesgo,log_pib,log_petroleo,log_riesgo,d_log_pib,d_log_petroleo,d_log_riesgo
2010-06-30,15506.22,71.79,776.06,9.648996512734492,4.273745190588392,6.654229836781842,-0.0067172645758404315,-0.009565471146331994,0.04134238606621121
2010-09-30,15970.06,75.03,674.27,9.678470998246459,4.3178880335576375,6.513630624167974,0.029474485511967075,0.04414284296924542,-0.14059921261386776
2010-12-31,15881.76,82.65,642.44,9.672926559894057,4.4146148242670336,6.465273427194696,-0.005544438352401926,0.09672679070939605,-0.048357196973277894
2011-03-31,15985.23,81.48,846.83,9.679420449879638,4.400357591358605,6.741499966124905,0.006493889985581092,-0.014257232908428286,0.2762265389302083
2011-06-30,16482.67,80.3,904.71,9.710064804903627,4.385769620952716,6.8076144503584715,0.030644355023989434,-0.01458797040588955,0.0661144842335668
2011-09-30,16546.78,88.2,738.2,9.713946799942045,4.4796069630127455,6.604214790595898,0.003881995038417685,0.0938373420600298,-0.20339965976257357
2011-12-31,16523.87,92.04,834.24,9.71256128114124,4.522223265167165,6.726521130745137,-0.0013855188008058406,0.04261630215441947,0.12230634014923947
2012-03-31,16648.9,89.69,777.09,9.720099427160065,4.496359280129911,6.655556173775688,0.007538146018825742,-0.025863985037253734,-0.07096495696944949
2012-06-30,16729.74,92.4,668.28,9.724943252915697,4.526126978647638,6.504707247389578,0.004843825755632025,0.02976769851772687,-0.15084892638610992
2012-09-30,16442.63,90.09,775.88,9.707632631484527,4.500809170663349,6.653997869050091,-0.017310621431169793,-0.02531780798428951,0.149290621660513
2012-12-31,16470.74,87.76,900.53,9.709340752338434,4.474605815966975,6.802983478886182,0.0017081208539071469,-0.02620335469637336,0.14898560983609066
2013-03-31,16450.88,88.97,739.52,9.708134250203418,4.488299234256676,6.606001327086016,-0.001206502135016052,0.01369341828970061,-0.19698215180016554
2013-06-30,16455.56,79.4,928.26,9.708418693007413,4.37449836825309,6.833311865959033,0.00028444280399497757,-0.11380086600358563,0.22731053887301655
2013-09-30,16481.71,70.78,535.7,9.710006560216467,4.259576474917317,6.283574302886914,0.0015878672090536838,-0.11492189333577318,-0.5497375630721182
2013-12-31,16687.29,67.96,888.3,9.72240263079376,4.2189192968037315,6.789309523775655,0.012396070577292306,-0.0406571781135856,0.5057352208887407
2014-03-31,16609.14,62.9,830.0,9.717708425228384,4.141546163706395,6.721425700790643,-0.0046942055653751424,-0.0773731330973364,-0.06788382298501183
2014-06-30,16682.1,64.47,786.68,9.722091567268665,4.1661999993225285,6.667821558360453,0.004383142040280674,0.024653835616133435,-0.053604142430190294
2014-09-30,16873.05,59.93,839.38,9.733472953508118,4.093177214470094,6.732663524072866,0.01138138623945295,-0.07302278485243452,0.06484196571241263
2014-12-31,16749.64,52.87,652.63,9.726132044484931,3.9678360702473587,6.481010353068922,-0.007340909023186626,-0.12534114422273523,-0.2516531710039436
2015-03-31,16891.01,60.2,807.44,9.734536806711429,4.097672352314776,6.693868748930604,0.008404762226497553,0.12983628206741704,0.21285839586168187
2015-06-30,17210.62,59.07,868.5,9.75328191412321,4.078723181319144,6.766767585681159,0.018745107411781703,-0.01894917099563198,0.07289883675055542
2015-09-30,16936.97,59.41,979.57,9.737254085619552,4.08446256236765,6.887113699864272,-0.016027828503657915,0.005739381048505798,0.12034611418311236
2015-12-31,17091.78,52.28,801.32,9.746352925162238,3.956613888756021,6.686260367913452,0.009098839542685866,-0.12784867361162844,-0.2008533319508201
2016-03-31,17226.96,49.56,780.47,9.754230877507178,3.9031840567609417,6.659896302317347,0.007877952344939487,-0.053429831995079446,-0.026364065596104602
2016-06-30,17474.37,50.12,809.48,9.768490514949994,3.9144201300278674,6.696392066203459,0.014259637442815887,0.011236073266925661,0.03649576388611209
2016-09-30,17189.94,44.36,968.46,9.752079607969407,3.7923381624821664,6.875707181013244,-0.016410906980587114,-0.122081967545701,0.17931511480978468
2016-12-31,17076.78,46.24,904.16,9.745474924979403,3.833845224364122,6.807006335881534,-0.0066046829900034965,0.04150706188195574,-0.06870084513171015
2017-03-31,17289.56,43.24,827.31,9.75785813011755,3.7667659927710075,6.718179473636682,0.01238320513814628,-0.06707923159311457,-0.08882686224485159
2017-06-30,17380.03,41.78,935.99,9.763077124939873,3.7324177561284198,6.841604792659837,0.005218994822323353,-0.03434823664258779,0.12342531902315468
2017-09-30,17516.34,38.77,903.4,9.77088943855729,3.657646751682838,6.806165423220504,0.007812313617417743,-0.07477100444558182,-0.03543936943933268
2017-12-31,17748.56,48.03,962.77,9.784059664852045,3.871825815676733,6.869814546304226,0.013170226294754173,0.2141790639938952,0.06364912308372173
2018-03-31,17795.32,47.96,795.9,9.786690780361985,3.8703673301593136,6.679473549811804,0.0026311155099403294,-0.001458485517419561,-0.19034099649242187
2018-06-30,17862.23,42.67,849.21,9.790443706658523,3.7534960971999087,6.744306505548745,0.0037529262965385612,-0.11687123295940482,0.06483295573694114
2018-09-30,18071.36,46.79,830.43,9.802083643620797,3.845669504878125,6.721943638926684,0.011639936962273723,0.09217340767821636,-0.02236286662206144
2018-12-31,18011.86,40.68,741.6,9.798785708795208,3.7057365711803594,6.608810014251645,-0.003297934825589266,-0.13993293369776572,-0.11313362467503829
2019-03-31,18409.05,41.73,914.43,9.820597670505668,3.731220294603461,6.818300920341367,0.02181196171046018,0.02548372342310179,0.2094909060897221
2019-06-30,18492.88,31.93,940.32,9.825141072122062,3.4635460067266908,6.84622024286434,0.004543401616393439,-0.2676742878767704,0.02791932252297258
2019-09-30,18291.05,25.29,934.65,9.814167148157013,3.2304090606818736,6.840172127658341,-0.010973923965048371,-0.23313694604481716,-0.006048115205999238
2019-12-31,18545.67,26.27,907.72,9.827991617607557,3.2684276036974484,6.810935961001421,0.01382446945054383,0.038018543015574835,-0.029236166656919416
2020-03-31,18552.23,29.96,778.57,9.828345276443684,3.3998631586490187,6.657458903737908,0.0003536588361274795,0.13143555495157022,-0.15347705726351357
2020-06-30,18769.76,30.82,875.47,9.840002343137593,3.42816382989197,6.774760885005171,0.011657066693908646,0.028300671242951214,0.11730198126726332
2020-09-30,19090.94,30.24,885.0,9.856969155947544,3.4091655513113324,6.785587645007929,0.016966812809950937,-0.018998278580637518,0.010826760002758284
2020-12-31,19032.47,28.74,843.56,9.853901746927976,3.358289880650879,6.737631031643564,-0.003067409019568146,-0.0508756706604534,-0.04795661336436563
2021-03-31,19208.08,21.35,929.84,9.863086302823694,3.0610517396746335,6.835012528335453,0.009184555895718205,-0.29723814097624546,0.09738149669188889
2021-06-30,19320.97,20.0,997.17,9.868946313545516,2.995732273553991,6.9049212669610025,0.005860010721821851,-0.06531946612064266,0.06990873862554992
2021-09-30,19484.79,20.0,1152.29,9.877389440193562,2.995732273553991,7.04950654568673,0.008443126648046473,0.0,0.14458527872572713
2021-12-31,20110.52,20.73,965.27,9.90899834021459,3.0315819264476884,6.872407854950409,0.0316089000210269,0.03584965289369757,-0.17709869073632056
2022-03-31,20177.05,22.45,968.41,9.912301098880697,3.1112906141882632,6.875655551322029,0.003302758666107408,0.07970868774057482,0.0032476963716199236
2022-06-30,20041.53,20.0,961.66,9.905561899589882,2.995732273553991,6.8686609578410485,-0.006739199290814568,-0.1155583406342724,-0.006994593480980527
2022-09-30,20074.47,20.0,772.37,9.907204137470186,2.995732273553991,6.6494637098207825,0.0016422378803042648,0.0,-0.21919724802026597
2022-12-31,19894.56,20.0,967.37,9.89820160650689,2.995732273553991,6.874581048950828,-0.009002530963297062,0.0,0.22511733913004583
2023-03-31,19935.88,20.0,986.2,9.900276402307426,2.995732273553991,6.893859173790026,0.0020747958005369327,0.0,0.019278124839197552
2023-06-30,20019.13,20.0,1217.32,9.904443595381492,2.995732273553991,7.1044070000842465,0.004167193074065878,0.0,0.21054782629422064
2023-09-30,20366.53,20.0,936.3,9.921648146158097,2.995732273553991,6.841935937944843,0.01720455077660432,0.0,-0.2624710621394035
2023-12-31,20660.82,22.81,971.72,9.935994432108647,3.1271990362962967,6.879067697117883,0.014346285950550097,0.13146676274230584,0.03713175917303957
2024-03-31,20731.98,20.0,950.68,9.939432714616869,2.995732273553991,6.857177518013166,0.0034382825082222013,-0.13146676274230584,-0.0218901791047168
2024-06-30,21161.6,20.0,841.92,9.959943497480344,2.995732273553991,6.735684997851928,0.020510782863475185,0.0,-0.12149252016123757
2024-09-30,21112.14,20.0,1068.1,9.957603509460908,2.995732273553991,6.97363664809565,-0.0023399880194361344,0.0,0.23795165024372178
2024-12-31,21831.82,23.6,1014.38,9.991123817575879,3.1612467120315646,6.922032867400269,0.03352030811497109,0.16551443847757374,-0.051603780695381296
